[SSID: nmegha, BSS: e8:cc:18:f9:a9:f4, Ciphers: TKIP, Channel: 2]
[SSID: Moiz, BSS: 90:8d:78:5e:0f:e8, Ciphers: CCMP, Channel: 1]
[SSID: don1806_2.4GHz, BSS: c4:e9:84:42:d0:ec, Ciphers: TKIP, Channel: 2]
[SSID: Agil, BSS: e8:cc:18:fa:d4:c8, Ciphers: TKIP, Channel: 2]
[SSID: renga, BSS: 90:8d:78:5f:f4:d0, Ciphers: CCMP, Channel: 3]
[SSID: Mooshy, BSS: 1c:7e:e5:46:ed:4d, Ciphers: TKIP, Channel: 5]
[SSID: HUAWEI-E5336-6CF5, BSS: e0:19:1d:b6:6c:f5, Ciphers: CCMP, Channel: 6]
[SSID: h_ssid, BSS: f8:e9:03:c4:4d:d4, Ciphers: CCMP, Channel: 10]
[SSID: SHAMIL, BSS: 6c:72:20:0a:34:9c, Ciphers: TKIP, Channel: 10]
[SSID: TEHSEENBUTT, BSS: e4:6f:13:31:5c:fc, Ciphers: CCMP, Channel: 2]
[SSID: None, BSS: fa:8f:ca:76:72:7d, Ciphers: None, Channel: 6]
[SSID: benjoe, BSS: 68:7f:74:26:1b:5a, Ciphers: TKIP, Channel: None]
[SSID: allahAlamG, BSS: ec:1a:59:b3:4a:7e, Ciphers: CCMP, Channel: 6]
